IMEI,MRTime,CellID_1,Dbm_1,AsuLevel_1,SignalLevel_1,CellID_2,Dbm_2,AsuLevel_2,SignalLevel_2,CellID_3,Dbm_3,AsuLevel_3,SignalLevel_3,CellID_4,Dbm_4,AsuLevel_4,SignalLevel_4,CellID_5,Dbm_5,AsuLevel_5,SignalLevel_5,CellID_6,Dbm_6,AsuLevel_6,SignalLevel_6,Label
861374033830412,1507627346,26050,-79,17,4,27394,-83,15,4,41139,-83,15,4,26049,-81,16,4,27378,-91,11,3,27377,-87,13,4,4
861374033830412,1507627351,26051,-75,19,4,27394,-81,16,4,41139,-83,15,4,26049,-83,15,4,27378,-91,11,3,27377,-87,13,4,1
861374033830412,1507627356,26051,-75,19,4,27394,-81,16,4,41139,-83,15,4,26049,-83,15,4,27378,-91,11,3,27377,-87,13,4,1
861374033830412,1507627359,26051,-73,20,4,27394,-83,15,4,41139,-81,16,4,26049,-81,16,4,27378,-91,11,3,27377,-85,14,4,1
861374033830412,1507627362,26051,-73,20,4,27394,-83,15,4,41139,-81,16,4,26049,-81,16,4,27378,-89,12,4,27377,-83,15,4,1
861374033830412,1507627365,26051,-63,25,4,27394,-81,16,4,41139,-81,16,4,26049,-81,16,4,27378,-89,12,4,27377,-83,15,4,1
861374033830412,1507627368,26051,-61,26,4,27394,-79,17,4,41139,-79,17,4,26049,-79,17,4,27378,-85,14,4,27377,-79,17,4,1
861374033830412,1507627371,26051,-65,24,4,27394,-79,17,4,41139,-77,18,4,26049,-79,17,4,27378,-83,15,4,27377,-77,18,4,1
861374033830412,1507627374,26051,-69,22,4,27394,-73,20,4,41139,-73,20,4,26049,-79,17,4,27378,-81,16,4,27377,-77,18,4,1
861374033830412,1507627378,26051,-75,19,4,27394,-71,21,4,41139,-73,20,4,26049,-79,17,4,27378,-81,16,4,27377,-73,20,4,1
861374033830412,1507627381,26051,-73,20,4,27394,-67,23,4,41139,-73,20,4,26049,-79,17,4,27377,-73,20,4,26050,-73,20,4,1
861374033830412,1507627384,26051,-65,24,4,41139,-73,20,4,26049,-81,16,4,27377,-71,21,4,26050,-73,20,4,0,0,0,0,1
861374033830412,1507627387,26051,-63,25,4,41139,-73,20,4,26049,-81,16,4,27377,-71,21,4,26050,-75,19,4,0,0,0,0,1
861374033830412,1507627390,26051,-65,24,4,41139,-73,20,4,26049,-83,15,4,27377,-75,19,4,26050,-75,19,4,0,0,0,0,1
861374033830412,1507627393,26051,-63,25,4,41139,-73,20,4,26049,-83,15,4,27377,-75,19,4,26050,-77,18,4,0,0,0,0,1
861374033830412,1507627396,26051,-65,24,4,41139,-73,20,4,26049,-83,15,4,27377,-75,19,4,26050,-77,18,4,0,0,0,0,1
861374033830412,1507627399,26051,-63,25,4,41139,-77,18,4,26049,-81,16,4,27377,-79,17,4,26050,-77,18,4,0,0,0,0,1
861374033830412,1507627403,26051,-61,26,4,41139,-79,17,4,26049,-81,16,4,27377,-79,17,4,26050,-79,17,4,0,0,0,0,1
861374033830412,1507627406,26051,-65,24,4,41139,-79,17,4,26049,-81,16,4,27377,-79,17,4,26050,-81,16,4,0,0,0,0,1
861374033830412,1507627409,26051,-61,26,4,41139,-79,17,4,26049,-83,15,4,27377,-79,17,4,26050,-81,16,4,0,0,0,0,1
861374033830412,1507627412,26051,-61,26,4,41139,-81,16,4,26049,-81,16,4,27377,-75,19,4,26050,-81,16,4,0,0,0,0,1
861374033830412,1507627415,26051,-57,28,4,41139,-81,16,4,26049,-81,16,4,27377,-75,19,4,26050,-81,16,4,0,0,0,0,1
861374033830412,1507627418,26051,-57,28,4,41139,-79,17,4,26049,-81,16,4,27377,-73,20,4,26050,-81,16,4,0,0,0,0,1
861374033830412,1507627421,26051,-59,27,4,41139,-77,18,4,26049,-85,14,4,27377,-71,21,4,26050,-83,15,4,0,0,0,0,1
861374033830412,1507727297,26051,-67,23,4,44757,-79,17,4,27394,-87,13,4,26049,-89,12,4,27377,-71,21,4,27393,-83,15,4,6
861374033830412,1507727300,26051,-73,20,4,44757,-79,17,4,26049,-89,12,4,27377,-71,21,4,27393,-87,13,4,14547,-85,14,4,5
861374033830412,1507727303,26051,-79,17,4,44757,-83,15,4,26049,-93,10,3,27377,-73,20,4,27393,-91,11,3,14547,-85,14,4,5
861374033830412,1507727306,26051,-77,18,4,44757,-87,13,4,27377,-81,16,4,27393,-91,11,3,14547,-85,14,4,0,0,0,0,4
861374033830412,1507727309,26051,-73,20,4,44757,-87,13,4,27377,-81,16,4,14547,-87,13,4,0,0,0,0,0,0,0,0,1
861374033830412,1507727312,26051,-75,19,4,44757,-89,12,4,27377,-83,15,4,14547,-89,12,4,0,0,0,0,0,0,0,0,1
861374033830412,1507727315,26051,-85,14,4,44757,-91,11,3,27377,-87,13,4,14547,-91,11,3,44754,-99,7,2,0,0,0,0,1
861374033830412,1507727318,26051,-87,13,4,44757,-93,10,3,27377,-87,13,4,14547,-91,11,3,44754,-101,6,2,27394,-101,6,2,1
861374033830412,1507727321,26051,-79,17,4,44757,-93,10,3,27377,-89,12,4,14547,-93,10,3,27394,-103,5,2,26049,-103,5,2,1
861374033830412,1507727324,26051,-83,15,4,44757,-97,8,3,27377,-91,11,3,14547,-95,9,3,27394,-103,5,2,26049,-105,4,1,1
861374033830412,1507727331,26051,-81,16,4,44757,-95,9,3,27377,-89,12,4,14547,-93,10,3,27394,-97,8,3,26049,-99,7,2,1
861374033830412,1507727334,26051,-81,16,4,44757,-93,10,3,27377,-87,13,4,14547,-89,12,4,27394,-93,10,3,26049,-97,8,3,1
861374033830412,1507727337,26051,-83,15,4,44757,-91,11,3,27377,-83,15,4,14547,-85,14,4,27394,-93,10,3,26049,-95,9,3,1
861374033830412,1507727340,26051,-81,16,4,44757,-87,13,4,27377,-83,15,4,14547,-85,14,4,27394,-89,12,4,26049,-95,9,3,1
861374033830412,1507727346,26051,-79,17,4,44757,-83,15,4,27377,-75,19,4,14547,-79,17,4,27394,-85,14,4,26049,-83,15,4,1
861374033830412,1507727349,26051,-79,17,4,44757,-81,16,4,27377,-73,20,4,14547,-79,17,4,27394,-85,14,4,26049,-83,15,4,1
861374033830412,1507727352,27377,-59,27,4,44757,-81,16,4,27377,-73,20,4,14547,-81,16,4,27394,-85,14,4,26049,-83,15,4,2
861374033830412,1507727355,27377,-67,23,4,14547,-83,15,4,27394,-85,14,4,26049,-83,15,4,26051,-81,16,4,27378,-79,17,4,5
861374033830412,1507727362,27377,-65,24,4,14547,-85,14,4,27394,-83,15,4,26049,-79,17,4,26051,-83,15,4,27378,-77,18,4,5
861374033830412,1507727365,27377,-67,23,4,14547,-87,13,4,27394,-83,15,4,26049,-75,19,4,26051,-83,15,4,27378,-77,18,4,5
861374033830412,1507727371,27377,-63,25,4,27394,-79,17,4,26049,-73,20,4,26051,-81,16,4,27378,-73,20,4,41233,-79,17,4,6
861374033830412,1507727374,27377,-63,25,4,27394,-77,18,4,26049,-71,21,4,26051,-81,16,4,27378,-75,19,4,41233,-77,18,4,6
861374033830412,1507727377,27377,-57,28,4,27394,-75,19,4,26049,-67,23,4,27378,-73,20,4,41233,-73,20,4,27393,-77,18,4,6
861374033830412,1507727380,27377,-53,30,4,27394,-73,20,4,26049,-65,24,4,27378,-73,20,4,41233,-73,20,4,27393,-75,19,4,6
861374033830412,1507727383,27377,-51,31,4,27394,-73,20,4,26049,-63,25,4,27378,-69,22,4,41233,-73,20,4,27393,-73,20,4,6
861374033830412,1507727386,27377,-53,30,4,27394,-69,22,4,26049,-63,25,4,27378,-67,23,4,41233,-69,22,4,27393,-71,21,4,6
861374033830412,1507727389,27377,-55,29,4,27394,-69,22,4,26049,-63,25,4,27378,-67,23,4,41233,-67,23,4,27393,-71,21,4,6
861374033830412,1507727392,27377,-55,29,4,27394,-67,23,4,26049,-59,27,4,27378,-67,23,4,41233,-67,23,4,27393,-69,22,4,6
861374033830412,1507727395,27377,-55,29,4,27394,-67,23,4,26049,-59,27,4,27378,-67,23,4,41233,-67,23,4,27393,-69,22,4,6
861374033830412,1507727398,27377,-55,29,4,27394,-67,23,4,26049,-59,27,4,27378,-67,23,4,41233,-67,23,4,27393,-67,23,4,6
861374033830412,1507727402,27377,-57,28,4,27394,-67,23,4,26049,-59,27,4,27378,-67,23,4,41233,-67,23,4,27393,-69,22,4,6
861374033830412,1507727405,27377,-57,28,4,27394,-69,22,4,26049,-59,27,4,27378,-69,22,4,41233,-69,22,4,27393,-69,22,4,6
861374033830412,1507727408,27377,-57,28,4,27394,-71,21,4,26049,-61,26,4,27378,-69,22,4,41233,-73,20,4,27393,-73,20,4,6
861374033830412,1507727411,27377,-59,27,4,27394,-71,21,4,26049,-61,26,4,27378,-69,22,4,41233,-73,20,4,26051,-65,24,4,5
861374033830412,1507727414,27377,-61,26,4,27394,-75,19,4,26049,-59,27,4,27378,-69,22,4,26051,-63,25,4,0,0,0,0,5
861374033830412,1507727417,27377,-61,26,4,27394,-75,19,4,26049,-61,26,4,27378,-69,22,4,26051,-61,26,4,0,0,0,0,5
861374033830412,1507727420,27377,-57,28,4,26049,-61,26,4,27378,-69,22,4,26051,-61,26,4,0,0,0,0,27393,-73,20,4,4
861374033830412,1507727423,27377,-57,28,4,26049,-61,26,4,27378,-71,21,4,26051,-61,26,4,0,0,0,0,27393,-73,20,4,4
861374033830412,1507727426,27377,-57,28,4,26049,-61,26,4,27378,-71,21,4,26051,-59,27,4,27393,-73,20,4,14547,-71,21,4,4
861374033830412,1507727429,27377,-61,26,4,26049,-61,26,4,27378,-73,20,4,26051,-61,26,4,27393,-73,20,4,14547,-73,20,4,4
861374033830412,1507727432,27377,-63,25,4,26049,-61,26,4,27378,-73,20,4,26051,-59,27,4,27393,-73,20,4,14547,-73,20,4,4
861374033830412,1507727438,27377,-57,28,4,26049,-67,23,4,27378,-73,20,4,26051,-59,27,4,27393,-75,19,4,27394,-71,21,4,4
861374033830412,1507727441,27377,-57,28,4,26049,-67,23,4,27378,-73,20,4,26051,-61,26,4,27393,-73,20,4,27394,-69,22,4,4
861374033830412,1507727447,27377,-61,26,4,26049,-67,23,4,27378,-71,21,4,26051,-61,26,4,27393,-73,20,4,27394,-71,21,4,2
861374033830412,1507727451,27377,-57,28,4,26049,-65,24,4,27378,-71,21,4,26051,-63,25,4,27393,-73,20,4,27394,-65,24,4,2
861374033830412,1507727454,27377,-59,27,4,26049,-59,27,4,27378,-71,21,4,26051,-63,25,4,27393,-75,19,4,27394,-67,23,4,2
861374033830412,1507727457,27377,-63,25,4,26049,-53,30,4,27378,-71,21,4,26051,-61,26,4,27393,-73,20,4,27394,-63,25,4,2
861374033830412,1507727460,27377,-59,27,4,26049,-51,31,4,27378,-71,21,4,26051,-59,27,4,27393,-75,19,4,27394,-63,25,4,2
861374033830412,1507727463,26049,-51,31,4,27378,-71,21,4,26051,-59,27,4,27394,-63,25,4,26050,-69,22,4,27377,-57,28,4,1
